Angle,Illuminance
87,56
86,58
85,57
84,57
83,57
82,58
81,57
80,58
79,57
78,57
77,58
76,58
75,58
74,58
73,60
72,59
71,59
70,59
69,60
68,60
67,60
66,61
65,60
64,60
63,60
62,61
61,62
60,63
59,63
58,64
57,64
56,65
55,66
54,68
53,69
52,70
51,71
50,73
49,73
48,75
47,75
46,76
45,76
44,77
43,78
42,78
41,80
40,81
39,83
38,84
37,84
36,85
35,88
34,90
33,90
32,91
31,93
30,95
29,97
28,99
27,102
26,102
25,106
24,110
23,112
22,114
21,118
20,121
19,123
18,127
17,132
16,135
15,140
14,146
13,150
12,155
11,159
10,166
9,172
8,177
7,186
6,194
5,199
4,207
3,214
2,222
1,230
0,241
0,243
1,243
2,239
3,226
4,213
5,204
6,198
7,190
8,185
9,178
10,172
11,166
12,160
13,154
14,149
15,146
16,143
17,136
18,133
19,129
20,125
21,122
22,120
23,115
24,112
25,110
26,107
27,103
28,101
29,100
30,97
31,96
32,94
33,92
34,90
35,89
36,88
37,86
38,84
39,83
40,83
41,81
42,81
43,79
44,77
45,77
46,77
47,76
48,74
49,74
50,73
51,72
52,71
53,69
54,69
55,67
56,67
57,66
58,65
59,65
60,65
61,64
62,64
63,62
64,62
65,61
66,61
67,60
68,59
69,60
70,60
71,59
72,60
73,59
74,60
75,60
76,59
77,59
78,59
79,59
80,58
81,59
82,59
83,58
84,57
85,57
86,58
87,57
88,57
89,57
90,56
91,56
92,56
93,56
94,57
95,56
96,56
97,57
98,56
99,56
100,57
101,57
102,58
103,58
104,60
105,60
106,60
107,60
108,60
109,60
110,60
111,61
112,62
113,62
114,62
115,62
116,63
117,64
118,64
119,64
120,65
121,66
122,67
123,67
124,66
125,68
126,69
127,69
128,70
129,69
130,70
131,71
132,72
133,72
134,71
135,72
136,71
137,70
138,71
139,70
140,70
141,74
142,75
143,76
144,76
145,75
146,76
147,79
148,82
149,82
150,85
151,83
152,84
153,87
154,90
155,94
156,94
157,94
158,97
159,97
160,98
161,102
162,106
163,111
164,108
165,109
166,115
167,117
168,119
169,125
170,126
171,130
172,135
173,140
174,145
175,152
176,157
177,163
178,171
179,179
180,187
180,193
179,193
178,188
177,180
176,168
175,161
174,156
173,148
172,140
171,132
170,125
169,121
168,120
167,114
166,110
165,108
164,105
163,103
162,102
161,97
160,96
159,92
158,92
157,90
156,90
155,87
154,87
153,86
152,85
151,84
150,83
149,83
148,82
147,81
146,79
145,77
144,76
143,77
142,76
141,75
140,74
139,70
138,73
137,71
136,70
135,71
134,70
133,69
132,70
131,70
130,70
129,69
128,69
127,68
126,68
125,67
124,67
123,67
122,65
121,65
120,65
119,64
118,64
117,64
116,64
115,64
114,63
113,63
112,61
111,60
110,60
109,60
108,60
107,60
106,60
105,59
104,59
103,59
102,58
101,58
100,57
99,56
98,56
97,56
96,56
95,56
94,56
93,56
92,56
91,55
90,55
89,56
88,57
87,56
86,57
85,58
84,57
83,57
82,58
81,58
80,57
79,57
78,58
77,58
76,58
75,58
74,59
73,59
72,59
71,59
70,60
69,59
68,60
67,61
66,61
65,61
64,61
63,61
62,61
61,62
60,62
59,63
58,64
57,65
56,66
55,67
54,68
53,69
52,69
51,71
50,73
49,74
48,75
47,76
46,76
45,76
44,77
43,78
42,79
41,81
40,82
39,83
38,83
37,84
36,86
35,88
34,89
33,90
32,92
31,94
30,95
29,98
28,101
27,102
26,104
25,107
24,111
23,114
22,115
21,118
20,122
19,126
18,128
17,132
16,136
15,141
14,148
13,152
12,157
11,160
10,168
9,174
8,179
7,187
6,194
5,200
4,207
3,215
2,223
1,232
0,241
0,243
1,243
2,238
3,225
4,213
5,206
6,200
7,191
8,185
9,180
10,173
11,168
12,162
13,155
14,151
15,148
16,144
17,137
18,134
19,129
20,125
21,123
22,118
23,115
24,113
25,111
26,108
27,105
28,102
29,100
30,98
31,96
32,96
33,93
34,91
35,90
36,88
37,87
38,85
39,84
40,84
41,82
42,81
43,80
44,79
45,77
46,77
47,76
48,76
49,75
50,74
51,73
52,71
53,70
54,69
55,69
56,67
57,67
58,66
59,65
60,64
61,64
62,64
63,64
64,62
65,62
66,61
67,61
68,60
69,60
70,59
71,59
72,60
73,60
74,59
75,59
76,59
77,58
78,58
79,58
80,58
81,58
82,59
83,59
84,58
85,57
86,57
87,57
88,57
89,56
90,57
91,56
92,56
93,56
94,56
95,55
96,55
97,56
98,56
99,57
100,57
101,57
102,58
103,59
104,60
105,61
106,60
107,60
108,60
109,61
110,60
111,61
112,61
113,62
114,62
115,63
116,64
117,64
118,64
119,64
120,65
121,66
122,66
123,67
124,66
125,67
126,68
127,68
128,69
129,69
130,70
131,70
132,70
133,69
134,70
135,72
136,71
137,70
138,71
139,70
140,70
141,71
142,75
143,75
144,74
145,74
146,75
147,74
148,75
149,76
150,83
151,89
152,92
153,91
154,92
155,92
156,93
157,94
158,97
159,98
160,99
161,100
162,101
163,103
164,109
165,111
166,113
167,117
168,117
169,122
170,126
171,131
172,134
173,140
174,146
175,151
176,157
177,164
178,172
179,177
180,185
180,189
179,189
178,184
177,175
176,165
175,160
174,157
173,149
172,137
171,131
170,127
169,123
168,119
167,116
166,115
165,107
164,107
163,105
162,101
161,99
160,97
159,93
158,91
157,91
156,91
155,88
154,87
153,86
152,84
151,84
150,83
149,82
148,81
147,81
146,80
145,79
144,78
143,76
142,75
141,74
140,74
139,74
138,74
137,73
136,72
135,72
134,71
133,70
132,70
131,70
130,70
129,69
128,69
127,69
126,68
125,67
124,67
123,67
122,65
121,65
120,65
119,63
118,64
117,64
116,63
115,63
114,63
113,62
112,60
111,60
110,60
109,59
108,60
107,59
106,59
105,60
104,60
103,59
102,58
101,58
100,57
99,57
98,57
97,56
96,56
95,55
94,55
93,56
92,56
91,55
90,56
89,55
88,55
87,56
86,57
85,57
84,57
83,57
82,57
81,57
80,58
79,57
78,58
77,58
76,60
75,58
74,59
73,59
72,59
71,59
70,59
69,59
68,60
67,61
66,61
65,60
64,60
63,61
62,61
61,62
60,62
59,63
58,64
57,64
56,65
55,65
54,66
53,68
52,68
51,69
50,72
49,72
48,72
47,73
46,75
45,76
44,77
43,78
42,78
41,79
40,82
39,82
38,84
37,84
36,85
35,88
34,89
33,90
32,91
31,93
30,95
29,97
28,99
27,101
26,103
25,106
24,109
23,113
22,115
21,118
20,123
19,124
18,128
17,132
16,136
15,141
14,147
13,151
12,156
11,159
10,166
9,172
8,178
7,186
6,193
5,198
4,206
3,214
2,223
1,233
0,241
